year,rank,league,gpa,weight
2020,256,Mid-State,101.11,0.69
2020,257,York City,99.55,0.68
2020,258,Boom Town,98.79,0.68
2020,259,Beach Cities,98.71,0.68
2020,260,Savannah,97.80,0.67
2020,261,Yellow Rose,97.05,0.67
2020,262,State College,96.48,0.66
2020,263,Royal Swedish,95.96,0.66
2020,264,Portneuf,95.92,0.66
2020,265,Maui,95.91,0.66
2020,266,Muscogee,95.19,0.65
2020,267,Rotterdam,95.16,0.65
2020,268,Suburbia,95.14,0.65
2020,269,Hammer City,95.10,0.65
2020,270,Hulls Angels,94.77,0.65
2020,271,South Delaware,94.67,0.65
2020,272,Bordeaux,94.43,0.65
2020,273,Marmots,93.50,0.64
2020,274,Chicago Outfit,93.39,0.64
2020,275,Eindhoven,93.26,0.64
2020,276,Munich,93.13,0.64
2020,277,Forest City,92.93,0.64
2020,278,Roughneck,92.89,0.64
2020,279,Brighton,92.77,0.64
2020,280,Morgantown,92.70,0.64
2020,281,Richland Co,92.70,0.64
2020,282,Jackson Hole,92.22,0.63
2020,283,Fog City,92.12,0.63
2020,284,Fredericksburg,91.85,0.63
2020,285,Central Coast,91.76,0.63
2020,286,South Shore,91.57,0.63
2020,287,Cologne,90.88,0.62
2020,288,IE Derby,90.07,0.62
2020,289,Barbed Wire,90.05,0.62
2020,290,Enchanted Mtn,90.00,0.62
2020,291,Albany US,89.11,0.61
2020,292,Jersey Shore,88.93,0.61
2020,293,Dirty Jersey,88.59,0.61
2020,294,Renegade,88.23,0.61
2020,295,Emerald City,87.78,0.60
2020,296,Central NY,86.50,0.59
2020,297,NW Derby,86.41,0.59
2020,298,Panters,85.93,0.59
2020,299,Twin City LA,85.79,0.59
2020,300,Rockford Rage,85.44,0.59
2020,301,Northern Arizona,85.44,0.59
2020,302,Roe City,85.16,0.58
2020,303,Ventura,84.37,0.58
2020,304,Sin City,83.70,0.57
2020,305,Rainy City,82.42,0.57
2020,306,Faultline,82.25,0.56
2020,307,Derby City,82.05,0.56
2020,308,Kent,81.62,0.56
2020,309,New Hampshire,81.20,0.56
2020,310,So Illinois,80.41,0.55
2020,311,Cajun,79.44,0.55
2020,312,Go-Go Gent,79.42,0.55
2020,313,Beet City,79.05,0.54
2020,314,Pensacola,78.95,0.54
2020,315,Battle Creek,78.67,0.54
2020,316,SO Derby,77.71,0.53
2020,317,B.M.O.,77.40,0.53
2020,318,Dom City,77.40,0.53
2020,319,Dead River,77.24,0.53
2020,320,580,76.69,0.53
2020,321,Spindletop,76.60,0.53
2020,322,London Rockin,75.51,0.52
2020,323,Belfast,75.23,0.52
2020,324,St. Pauli,75.16,0.52
2020,325,SINtral Valley,72.52,0.50
2020,326,Rodeo City,72.47,0.50
2020,327,Pacific,72.08,0.50
2020,328,Little City,72.01,0.50
2020,329,Sheffield,71.51,0.50
2020,330,Granite State,70.79,0.50
2020,331,Eerie,70.09,0.50
2020,332,Wine Town,70.08,0.50
2020,333,San Diego,70.01,0.50
2020,334,Hogtown,69.02,0.50
2020,335,Peninsula,68.94,0.50
2020,336,Garden Island,68.61,0.50
2020,337,Undead,66.50,0.50
2020,338,Memphis,64.67,0.50
2020,339,Aalborg,64.54,0.50
2020,340,Harrisburg,64.45,0.50
2020,341,Black n Blue,64.22,0.50
2020,342,Hell's Orchard,64.22,0.50
2020,343,Okinawa,61.81,0.50
2020,344,Long Island,60.67,0.50
2020,345,Ohio Valley,60.18,0.50
2020,346,Los Alamos,60.01,0.50
2020,347,Keweenaw,58.98,0.50
2020,348,Limerick,58.47,0.50
2020,349,Lava City,58.27,0.50
2020,350,Dolly Rockit,57.50,0.50
2020,351,South Bend,54.30,0.50
2020,352,Black Diamond,53.50,0.50
2020,353,Diamond State,52.15,0.50
2020,354,St. Chux,51.29,0.50
2020,355,Iceland,51.00,0.50
2020,356,Two Rivers,50.29,0.50
2020,357,Lafayette,50.04,0.50
2020,358,Northern Brisbane,48.49,0.50
2020,359,Soul City,44.46,0.50
2020,360,Molly Roger,44.36,0.50
2020,361,Slaughterhouse,41.45,0.50
2020,362,Gothenburg,39.52,0.50
2020,363,Hurricane,36.87,0.50
2020,364,Whidbey,36.79,0.50
2020,365,Miss Valley,31.17,0.50
2020,366,Kaiserslautern,28.24,0.50
2020,367,Rough Diamond,14.58,0.50
