year,rank,league,weight
2020,283,Fog City,0.63
2020,284,Fredericksburg,0.63
2020,285,Central Coast,0.63
2020,286,South Shore,0.63
2020,287,Cologne,0.62
2020,288,IE Derby,0.62
2020,289,Barbed Wire,0.62
2020,290,Enchanted Mtn,0.62
2020,291,Albany US,0.61
2020,292,Jersey Shore,0.61
2020,293,Dirty Jersey,0.61
2020,294,Renegade,0.61
2020,295,Emerald City,0.60
2020,296,Central NY,0.59
2020,297,NW Derby,0.59
2020,298,Panters,0.59
2020,299,Twin City LA,0.59
2020,300,Rockford Rage,0.59
2020,301,Northern Arizona,0.59
2020,302,Roe City,0.58
2020,303,Ventura,0.58
2020,304,Sin City,0.57
2020,305,Rainy City,0.57
2020,306,Faultline,0.56
2020,307,Derby City,0.56
2020,308,Kent,0.56
2020,309,New Hampshire,0.56
2020,310,So Illinois,0.55
2020,311,Cajun,0.55
2020,312,Go-Go Gent,0.55
2020,313,Beet City,0.54
2020,314,Pensacola,0.54
2020,315,Battle Creek,0.54
2020,316,SO Derby,0.53
2020,317,B.M.O.,0.53
2020,318,Dom City,0.53
2020,319,Dead River,0.53
2020,320,580,0.53
2020,321,Spindletop,0.53
2020,322,London Rockin,0.52
2020,323,Belfast,0.52
2020,324,St. Pauli,0.52
2020,325,SINtral Valley,0.50
2020,326,Rodeo City,0.50
2020,327,Pacific,0.50
2020,328,Little City,0.50
2020,329,Sheffield,0.50
2020,330,Granite State,0.50
2020,331,Eerie,0.50
2020,332,Wine Town,0.50
2020,333,San Diego,0.50
2020,334,Hogtown,0.50
2020,335,Peninsula,0.50
2020,336,Garden Island,0.50
2020,337,Undead,0.50
2020,338,Memphis,0.50
2020,339,Aalborg,0.50
2020,340,Harrisburg,0.50
2020,341,Black n Blue,0.50
2020,342,Hell's Orchard,0.50
2020,343,Okinawa,0.50
2020,344,Long Island,0.50
2020,345,Ohio Valley,0.50
2020,346,Los Alamos,0.50
2020,347,Keweenaw,0.50
2020,348,Limerick,0.50
2020,349,Lava City,0.50
2020,350,Dolly Rockit,0.50
2020,351,South Bend,0.50
2020,352,Black Diamond,0.50
2020,353,Diamond State,0.50
2020,354,St. Chux,0.50
2020,355,Iceland,0.50
2020,356,Two Rivers,0.50
2020,357,Lafayette,0.50
2020,358,Northern Brisbane,0.50
2020,359,Soul City,0.50
2020,360,Molly Roger,0.50
2020,361,Slaughterhouse,0.50
2020,362,Gothenburg,0.50
2020,363,Hurricane,0.50
2020,364,Whidbey,0.50
2020,365,Miss Valley,0.50
2020,366,Kaiserslautern,0.50
2020,367,Rough Diamond,0.50
